medicine_name,treatment
Aerius,Göz enfeksiyonu
Allercareex XR 500,Alerjik rinit
Allercareix 20mg,Tiroid hormonu
Allercareum XR 10mg,Yara ve yanık bakımı
Allergeler 500,Ateş düşürücü
Allergelon 200,Uyku düzenleyici
Allergelor Plus 200,Boğaz enfeksiyonu
Allergelyl Plus 50,Bakteriyel enfeksiyon
Allerglucoen Plus 10mg,Kas gevşetici
Allerglucoex 10mg,Uyku düzenleyici
Allerguarden Forte 10mg,Mide koruyucu
Allerguardyl Duo 500,Kalp ritim düzenleyici
Allermaxal Plus 50,Mide yanması / reflü
Allermaxax Plus 5mg,İdrar yolu enfeksiyonu
Allermaxet Forte 20mg,İltihap giderici
Allermaxor Plus 200,Alerjik rinit
Allermaxyl SR 20mg,İshal tedavisi
Allerpharmal SR,Ateş düşürücü
Allerpharmid XR 500,Demir eksikliği
Allerpharmol Forte 100,Burun tıkanıklığı
Allerplusax Duo 50,Tiroid hormonu
Allerplusid SR 5mg,Mide yanması / reflü
Allerreliefex Duo 5mg,Tiroid hormonu
Allersprayer Duo,Kabızlık tedavisi
Allersprayis SR 100,Tiroid hormonu
Allersprayyl XR 5mg,Uyku düzenleyici
Allerstaten Plus,Kas gevşetici
Allerstatix Forte 10mg,Astım tedavisi
Allersyrupal XR 250,Kabızlık tedavisi
Allersyrupex SR 500,Burun tıkanıklığı
Allertabset Forte 500,Uyku düzenleyici
Allertabsin Duo 250,Kalp ritim düzenleyici
Allertabsin SR 500,Burun tıkanıklığı
Allertabsor Duo,Bulantı ve kusma
Allertabsor Forte 250,Anksiyete (destek)
Allerthyrool Forte 250,Göz enfeksiyonu
Apranax,Tansiyon kontrolü
Arveles,Boğaz enfeksiyonu
Aspirin,Uyku düzenleyici
Augmentin,İshal tedavisi
Azitro,İdrar yolu enfeksiyonu
Bactrim,Cilt enfeksiyonu
Beloc,Yara ve yanık bakımı
Biocapser Plus 20mg,Bakteriyel enfeksiyon
Biocapsex 100,Yara ve yanık bakımı
Biocapsol XR 250,Mantar enfeksiyonu
Biocareet 500,Kabızlık tedavisi
Biocureet 5mg,Migren tedavisi
Biocureor SR 250,Burun tıkanıklığı
Biogeler Plus,Uyku düzenleyici
Bioglucoax 10mg,Tansiyon kontrolü
Bioglucoer,Cilt enfeksiyonu
Bioglucoer Plus 100,Mantar enfeksiyonu
Bioglucoex Duo,Alerjik rinit
Bioglucoid SR 20mg,Kalp ritim düzenleyici
Bioglucoin XR 500,Diyabet tedavisi
Bioglucois XR 5mg,Tansiyon kontrolü
Bioglucoor XR 100,Mide yanması / reflü
Bioglucoum,Mantar enfeksiyonu
Bioguardax 200,İltihap giderici
Bioguardis 20mg,Mantar enfeksiyonu
Bioguardix SR 200,Öksürük baskılayıcı
Biomaxen XR 50,Tansiyon kontrolü
Biomaxex 500,Demir eksikliği
Biomaxex SR 20mg,Boğaz enfeksiyonu
Biopharmax XR 500,Uyku düzenleyici
Bioplusal Forte 500,Kabızlık tedavisi
Bioplusen 20mg,İshal tedavisi
Bioplusix SR 50,Cilt enfeksiyonu
Bioplusum Forte 5mg,Cilt enfeksiyonu
Bioreliefal Duo 50,Astım tedavisi
Bioreliefix SR,Balgam söktürücü
Biosprayol XR 100,İdrar yolu enfeksiyonu
Biostatet SR 20mg,İdrar yolu enfeksiyonu
Biostatet XR 5mg,Kas gevşetici
Biosyrupum XR 250,Bakteriyel enfeksiyon
Biotabsin Forte 5mg,Bakteriyel enfeksiyon
Biotabson 500,Kas gevşetici
Biotabsum Plus 250,Balgam söktürücü
Biotabsyl Plus 5mg,Tiroid hormonu
Biothyroax XR 100,Göz enfeksiyonu
Biothyroex 5mg,Uyku düzenleyici
Buscopan,Balgam söktürücü
Calmcapsax 100,Astım tedavisi
Calmcapset 250,Ağrı kesici
Calmcapsex Plus 500,Mide koruyucu
Calmcapsid,Tiroid hormonu
Calmcapsid SR,Uyku düzenleyici
Calmcareal SR 250,Uyku düzenleyici
Calmgelal SR 200,İshal tedavisi
Calmgelen XR 250,Mantar enfeksiyonu
Calmgelum Forte 250,Burun tıkanıklığı
Calmglucois 5mg,Mantar enfeksiyonu
Calmglucois Duo 5mg,Kas gevşetici
Calmmaxyl 10mg,Öksürük baskılayıcı
Calmpharmal Duo 100,Bakteriyel enfeksiyon
Calmpluser SR 50,İltihap giderici
Calmplusex Forte 250,Bulantı ve kusma
Calmplusis Duo 250,Tiroid hormonu
Calmplusis Plus 5mg,Bulantı ve kusma
Calmpressis 50,İltihap giderici
Calmpressol Forte 100,Diyabet tedavisi
Calmsprayex SR 5mg,Migren tedavisi
Calmsprayon SR 200,Bulantı ve kusma
Calmstatid XR 20mg,Mantar enfeksiyonu
Calmstaton Duo 100,İltihap giderici
Calmsyrupid XR,Ağrı kesici
Calmsyrupyl Plus 20mg,Yara ve yanık bakımı
Calmthyroax SR 5mg,Balgam söktürücü
Calmthyrois SR 5mg,Göz enfeksiyonu
Calpol,Mantar enfeksiyonu
Cipro,Anksiyete (destek)
Claritin,Migren tedavisi
Concor,Astım tedavisi
Coraspin,Anksiyete (destek)
Coversyl,Cilt enfeksiyonu
Dermcapsex SR 250,İshal tedavisi
Dermcapsor SR 50,Alerjik rinit
Dermcareer Duo 200,Göz enfeksiyonu
Dermcareer SR 100,Mide koruyucu
Dermcureid Plus 200,Anksiyete (destek)
Dermcureum 500,Boğaz enfeksiyonu
Dermgelid Duo 500,Bulantı ve kusma
Dermgelum XR 250,Ağrı kesici
Dermglucoax Forte 500,Göz enfeksiyonu
Dermglucoen Duo 20mg,Mantar enfeksiyonu
Dermglucoor Forte 10mg,İshal tedavisi
Dermglucoor SR 500,Bulantı ve kusma
Dermglucoyl XR 250,Diyabet tedavisi
Dermguardax XR 50,Vitamin desteği
Dermmaxal Plus,Burun tıkanıklığı
Dermmaxet SR 5mg,Öksürük baskılayıcı
Dermmaxum SR 10mg,Diyabet tedavisi
Dermpressyl Plus,Balgam söktürücü
Dermreliefax XR 500,Bulantı ve kusma
Dermreliefet SR 200,Astım tedavisi
Dermsprayex XR 200,Uyku düzenleyici
Dermsprayix Duo 5mg,Burun tıkanıklığı
Dermstatis 5mg,İdrar yolu enfeksiyonu
Dermsyrupix XR 250,Ağrı kesici
Dermtabsen SR 500,Boğaz enfeksiyonu
Dermtabsis Forte 100,Kalp ritim düzenleyici
Dermtabsix Duo 500,İdrar yolu enfeksiyonu
Dermtabsyl Duo 50,Demir eksikliği
Dermthyroid 200,Cilt enfeksiyonu
Dermthyroid Duo 5mg,Göz enfeksiyonu
Dermthyroin SR 500,Yara ve yanık bakımı
Dermthyroum Forte 10mg,Ağrı kesici
Dermthyroum Forte 5mg,Boğaz enfeksiyonu
Diamicron,Kan sulandırıcı
Diclomec,İdrar yolu enfeksiyonu
Dideral,Kas gevşetici
Dolorex,Alerjik rinit
Euthyrox,Anksiyete (destek)
Flagyl,Yara ve yanık bakımı
Flexcapser Plus 100,Mide koruyucu
Flexcapsex Duo 10mg,Diyabet tedavisi
Flexcapsis 20mg,Yara ve yanık bakımı
Flexcapsol Duo 10mg,Alerjik rinit
Flexcareis XR 250,Mantar enfeksiyonu
Flexcureyl Forte 5mg,Kan sulandırıcı
Flexgelid Forte 50,Bakteriyel enfeksiyon
Flexguardal 100,Bakteriyel enfeksiyon
Flexguardyl 5mg,Astım tedavisi
Flexmaxex Plus 50,Uyku düzenleyici
Flexmaxol 500,Mide yanması / reflü
Flexpharmal Forte 20mg,Anksiyete (destek)
Flexpharmol Duo 10mg,Kan sulandırıcı
Flexpharmor 100,Tiroid hormonu
Flexplusal Duo 250,Uyku düzenleyici
Flexpressal Duo 100,Kabızlık tedavisi
Flexpressen XR 250,İdrar yolu enfeksiyonu
Flexpressid 10mg,Öksürük baskılayıcı
Flexreliefen XR 5mg,Demir eksikliği
Flexreliefer Plus 100,Kan sulandırıcı
Flexreliefum XR 200,Soğuk algınlığı semptomları
Flexreliefyl 200,Alerjik rinit
Flexsprayer Forte 250,Kas gevşetici
Flexsprayol,İshal tedavisi
Flexstatum Plus 200,Mide yanması / reflü
Flexsyrupex Duo,Mide koruyucu
Flextabsax Forte 200,Burun tıkanıklığı
Flextabsin Duo 20mg,Demir eksikliği
Flextabsyl SR 200,Alerjik rinit
Flexthyroax Forte 100,Kabızlık tedavisi
Flexthyroer Forte 250,Migren tedavisi
Flexthyroin Plus 20mg,Öksürük baskılayıcı
Flexthyroum XR,Demir eksikliği
Flixotide,Kas gevşetici
Gastrocapsex Forte 250,Anksiyete (destek)
Gastrocareax Duo 200,Astım tedavisi
Gastrocareax XR 5mg,Tiroid hormonu
Gastrocareum XR 100,Anksiyete (destek)
Gastrocureer XR 200,Kas gevşetici
Gastrocureer XR 250,Anksiyete (destek)
Gastrocureis Forte 20mg,Yara ve yanık bakımı
Gastrocureum Duo 20mg,Ateş düşürücü
Gastrogelum XR 100,Diyabet tedavisi
